URL,Name-Original,Type,Category,Name,Name,Req-Race1,Req-Race2,Req-Class,Req-Align,Req-Other,Req-Faith,Req-Place,Description,Source
http://www.d20pfsrd.com/traits/combat-traits/absolute-loyalty,Absolute Loyalty,Basic,Combat,Absolute Loyalty,Absolute Loyalty,,,,,,,,You gain the one-time ability to immediately cast atonement upon yourself as a spell-like ability upon performing an act or being subjected to an effect that spell affects. This ability can only be used while you are acting in the service of your liege (an individual of higher social standing chosen when you take this feat).,
http://www.d20pfsrd.com/traits/combat-traits/accelerated-drinker,Accelerated Drinker,Basic,Combat,Accelerated Drinker,Accelerated Drinker,,,,,,,,You may drink a potion as a move action instead of a standard as long as you start your turn with the potion in your hand.,
http://www.d20pfsrd.com/traits/combat-traits/ambush-training,Ambush Training,Basic,Combat,Ambush Training,Ambush Training,,,,,,,,You gain a +1 trait bonus on initiative checks and a +1 trait bonus on weapon damage rolls during any surprise round in which you act.,
http://www.d20pfsrd.com/traits/combat-traits/anatomist,Anatomist,Basic,Combat,Anatomist,Anatomist,,,,,,,,You gain a +1 trait bonus on all rolls made to confirm critical hits.,
http://www.d20pfsrd.com/traits/combat-traits/armor-expert,Armor Expert,Basic,Combat,Armor Expert,Armor Expert,,,,,,,,"Armor check penalties for armor you wear are reduced by 1, to a minimum of 0.",
http://www.d20pfsrd.com/traits/combat-traits/axe-to-grind,Axe to Grind,Basic,Combat,Axe to Grind,Axe to Grind,,,,,,,,You gain a +1 trait bonus on damage against foes who are threatened by only you.,
http://www.d20pfsrd.com/traits/combat-traits/battlefield-disciple,Battlefield Disciple,Basic,Combat,Battlefield Disciple,Battlefield Disciple,,,,,,,,"You gain a +2 trait bonus on Heal checks made to stabilize a dying creature. In addition, when you successfully use the aid another action in combat to grant an ally a bonus on her next attack roll, the bonus you grant increases by 1.",
http://www.d20pfsrd.com/traits/combat-traits/berserker-of-the-society-barbarian-pathfinder-society,Berserker of the Society,Basic,Combat,Berserker of the Society,Berserker of the Society,,,Barbarian,,Society,,,You may use your rage ability for 3 additional rounds per day.,
http://www.d20pfsrd.com/traits/combat-traits/black-powder-bravado,Black Powder Bravado,Basic,Combat,Black Powder Bravado,Black Powder Bravado,,,,,,,,"Once per day, when you perform a deed that requires an attack roll and you miss with that roll, you can reroll it. You must take the second result even if it is worse.",
http://www.d20pfsrd.com/traits/combat-traits/black-powder-fortune,Black Powder Fortune,Basic,Combat,Black Powder Fortune,Black Powder Fortune,,,,,,,,"As long as you are wielding a firearm, you gain a +2 trait bonus on all saving throws against curse, fear, and emotion effects.",
http://www.d20pfsrd.com/traits/combat-traits/black-powder-interjection,Black Powder Interjection,Basic,Combat,Black Powder Interjection,Black Powder Interjection,,,,,,,,"Once per day, when you interrupt the casting of a spell with a firearm attack, you may regain 1 grit point.",
http://www.d20pfsrd.com/traits/combat-traits/blade-of-the-society-rogue-pathfinder-society,Blade of the Society,Basic,Combat,Blade of the Society,Blade of the Society,,,Rogue,,Society,,,You gain a +1 trait bonus to damage rolls from sneak attacks.,
http://www.d20pfsrd.com/traits/combat-traits/bloodthirsty,Bloodthirsty,Basic,Combat,Bloodthirsty,Bloodthirsty,,,,,,,,"Whenever you make an attack that reduces a foe to 0 hit points or fewer or you confirm a critical hit, your attack deals 1 additional point of damage. The additional damage is a trait bonus, and is multiplied by your weapon's critical hit multiplier.",
http://www.d20pfsrd.com/traits/combat-traits/bullied,Bullied,Basic,Combat,Bullied,Bullied,,,,,,,,You gain a +1 trait bonus on attacks of opportunity attack rolls made with unarmed strikes.,
http://www.d20pfsrd.com/traits/combat-traits/careful-combatant-combat,Careful Combatant,Basic,Combat,Careful Combatant,Careful Combatant,,,,,,,,"When using the withdraw action, both the first and second squares of your movement are not considered threatened by any opponents you can see, rather than just the first square.",
http://www.d20pfsrd.com/traits/combat-traits/coherent-rage-ulfen-guard,Coherent Rage,Basic,Combat,Coherent Rage,Coherent Rage,,,,,Ulfen Guard,,,"Select one of the following skills: Bluff, Escape Artist, Handle Animal, or Stealth. You may use this skill normally while raging.",
http://www.d20pfsrd.com/traits/combat-traits/cold-and-calculating,Cold and Calculating,Basic,Combat,Cold and Calculating,Cold and Calculating,,,,,,,,You gain a +1 trait bonus on all Bluff checks against favored enemies that share one of your subtypes. You also gain a +1 trait bonus on attack rolls made against such favored enemies during the surprise round.,
http://www.d20pfsrd.com/traits/combat-traits/courageous,Courageous,Basic,Combat,Courageous,Courageous,,,,,,,,You gain a +2 trait bonus on saving throws against fear effects.,
http://www.d20pfsrd.com/traits/combat-traits/crowd-dodger,Crowd Dodger,Basic,Combat,Crowd Dodger,Crowd Dodger,,,,,,,,You gain a +2 trait bonus on Acrobatics checks to move through another creature's space and to avoid attacks of opportunity for leaving a threatened square.,
http://www.d20pfsrd.com/traits/combat-traits/dedicated-defender,Dedicated Defender,Basic,Combat,Dedicated Defender,Dedicated Defender,,,,,,,,"You gain a +1 trait bonus on attack rolls and on checks made to overcome spell resistance while you are adjacent to a dying or disabled ally, animal companion, eidolon, familiar, or mount.",
http://www.d20pfsrd.com/traits/combat-traits/defender-of-the-society-fighter-pathfinder-society,Defender of the Society,Basic,Combat,Defender of the Society,Defender of the Society,,,Fighter,,Society,,,You gain a +1 trait bonus to Armor Class when wearing medium or heavy armor.,
